BLDG_UID,NAME,BLDG_CODE,CONSTR_STATUS,OCCU_DATE,BLDG_USAGE,BLDG_SEC_USAGE,JURISDICTION,NEIGHBOURHOOD,MANAGE_ORG,BLDG_STATE,GREEN_STATUS,CONSTR_TYPE,MAX_FLOORS,BLDG_HEIGHT,GBA,REC_IDS,HAS_SUBBLDGS,GEOM_SOURCE,NOTES,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,BLDG_FORM,BLDG_CONDITION,ACCESSIBILITY_RATING,BLDG_MAINTENANCE,BLDG_CLASS,PROPERTY_TYPE,LAT,LONG
VBL10170,Village Square,VSQU,Complete,20170808,Housing,Commercial,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,8,,10013,691,0,AC - PDF from final DP,new GBA taken from spreadsheet,PLAN,20170914214526,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.236379,49.25396
VBL10171,Webber House,WEBH,Complete,20170512,Housing,,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,8,,4256,693,0,AC PDF from DP,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.236801,49.25329
VBL10175,The Balmoral,BALM,Complete,19970708,Housing,,UNA,Hampton,Private,Occupied,,Concrete,21,,10636,508,0,,new GBA taken from spreadsheet,,,TONYZ,20210520221449,Apt5StoreyPlus,,,,B5,,-123.232724,49.258489
VBL10301,Walter H. Gage Residence - Gage Apartments,WGR2,Complete,19840101,StudentHousing,,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,5,,8046,874,0,,,GISSTUD2,20190514202740,RACHELW,20210906042659,AptLess5Storey,,,UBC,B5,,-123.249022,49.270145
VBL10396,Walter H. Gage Residence - West Coast Suites (Gage Court),WGR3,Complete,19720101,StudentHousing,,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,4,,3597,872-2,0,,,GISSTUD2,20190514202820,RACHELW,20210906042702,AptLess5Storey,,,UBC,B1,,-123.248586,49.269593
VBL10393,Walter H. Gage Residence - East Tower,WGR4,Complete,19720101,StudentHousing,,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,18,,9773,872-1,0,,,GISSTUD2,20190514202902,RACHELW,20210906042946,Apt5StoreyPlus,,,UBC,B5,,-123.249158,49.269645
VBL10394,Walter H. Gage Residence - North Tower,WGR5,Complete,19720101,StudentHousing,,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,18,,9772,869-3,0,,,GISSTUD2,20190514202933,RACHELW,20210906042949,Apt5StoreyPlus,,,UBC,B5,,-123.250029,49.269841
VBL10395,Walter H. Gage Residence - South Tower,WGR6,Complete,19720101,StudentHousing,,UBC,Academic,SHHS,Occupied,LEED Gold,Concrete,18,,9772,869-2,0,,,GISSTUD2,20190514203053,RACHELW,20210906042953,Apt5StoreyPlus,,,UBC,B5,,-123.24972,49.2692
VBL10354,UBC Exchange,TRAN,Complete,20170726,Operations,,Non-UBC,Academic,TransLink,Occupied,LEED Gold,Concrete,1,,19020,772,0,RW - PDF from Approved DP,,GISSTUD2,20190524190925,TONYZ,20210520221402,Parking,,,,B3,LeasedFromUBC,-123.247429,49.267759
VBL10191,Magnolia House,MAGN,Complete,20120101,Housing,,UNA,Wesbrook,UBCPT,Occupied,REAP Gold,Wood,5,,7617,713,0,,new GBA taken from spreadsheet,,,TONYZ,20210520221449,AptLess5Storey,,,,B5,,-123.233539,49.251541
VBL10070,David Strangway Building,STRG,Complete,20051223,Academic,Administrative,UBC,Academic,UBCPT,Occupied,,Concrete,6,,11090,199,0,,,,,RACHELW,20210906050806,Unspecified,,,UBC,B2,LeasedFromUBC,-123.246167,49.265838
VBL10062,Chemical and Biological Engineering Building,CHBE,Complete,20050906,Academic,,UBC,Academic,UBC,Occupied,,Concrete,7,,11723,300,0,,,,,RACHELW,20210812135151,Unspecified,,,UBC,B2,,-123.247066,49.262481
