ADD_UID,SITE_NAME,LOCALITY,POSTAL_CODE,PROVINCE_CODE,BLDG_UID,ADDRESS_DESCRIPTOR,MAIL_PROVIDER,FULL_ADDRESS,LAT,LONG
VAD10039,Logan Lane (B12),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2539 East Mall,-123.245484,49.259132
VAD10100,Old Barn Community Centre,Vancouver,V6T 1Z4,BC,VBL10157,OtherBuilding,CanadaPost,6308 Thunderbird Boulevard,-123.248274,49.259014
VAD10110,Logan Lane (D5),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6250 Logan Lane,-123.245704,49.258671
VAD10136,Logan Lane (D11),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6240 Logan Lane,-123.24584,49.258814
VAD10112,Logan Lane (D8),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6246 Logan Lane,-123.245776,49.258758
VAD10113,Logan Lane (C12),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6222 Logan Lane,-123.246053,49.259157
VAD10115,Logan Lane (D15),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6232 Logan Lane,-123.245927,49.258919
VAD10117,Logan Lane (D9),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6242 Logan Lane,-123.245785,49.25877
VAD10119,Logan Lane (D10),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6244 Logan Lane,-123.245826,49.258797
VAD10122,Logan Lane (A6),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2571 East Mall,-123.245088,49.258668
VAD10259,Friedman Building,Vancouver,V6T 1Z3,BC,VBL10120,CampusBuilding,,2177 Wesbrook Mall,-123.245942,49.265574
VAD10261,Gas Gun Facility,Vancouver,V6T 1Z4,BC,VBL10410,CampusBuilding,,6301 Stadium Road,-123.246102,49.256087
VAD10262,Geography Building,Vancouver,V6T 1Z2,BC,VBL10411,CampusBuilding,,1984 West Mall,-123.256224,49.265791
VAD10263,George Cunningham Building,Vancouver,V6T 1Z3,BC,VBL10039,CampusBuilding,,2146 East Mall,-123.249088,49.264778
VAD10274,"Food, Nutrition and Health Building",Vancouver,V6T 1Z4,BC,VBL10082,CampusBuilding,,2205 East Mall,-123.24953,49.264063
VAD10617,Acadia Community Centre,Vancouver,V6T 2E5,BC,VBL10185,CampusBuilding,,2707 Tennis Crescent,-123.237359,49.262634
VAD10778,Westchester (G1),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6381 Larkin Drive,-123.248847,49.257386
VAD10779,Westchester (G2),Vancouver,V6T 2K1,BC,VBL10220,Residential,CanadaPost,6383 Larkin Drive,-123.248859,49.257361
VAD10562,David Strangway - Retail,Vancouver,V6T 1Z3,BC,VBL10070,Commercial,CanadaPost,5940 University Boulevard,-123.245811,49.266108
VAD10561,David Strangway - Retail,Vancouver,V6T 1Z3,BC,VBL10070,Commercial,CanadaPost,5960 University Boulevard,-123.246183,49.266044
VAD10421,Sopron House,Vancouver,V6T 1R9,BC,VBL10075,CampusBuilding,,2730 Acadia Road,-123.23529,49.262198
VAD10031,Logan Lane (D1),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6258 Logan Lane,-123.245628,49.258573
VAD10906,Chemistry Physics Building,Vancouver,V6T 1Z1,BC,VBL10327,CampusBuilding,,6221 University Boulevard,-123.25128,49.265738
VAD10038,Logan Lane (B1),Vancouver,V6T 2K8,BC,VBL10226,Residential,CanadaPost,2559 East Mall,-123.245228,49.258838
VAD10123,Logan Lane (E7),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6284 Logan Lane,-123.246619,49.258966
VAD10125,Logan Lane (C11),Vancouver,V6T 2K9,BC,VBL10226,Residential,CanadaPost,6224 Logan Lane,-123.24599,49.259179
